iter	Passed	Remaining
0	7	9547
1	14	8757
2	21	8457
3	27	8254
4	34	8165
5	40	8122
6	47	8150
7	54	8136
8	62	8242
9	69	8317
10	77	8425
11	86	8516
12	93	8535
13	101	8559
14	108	8578
15	115	8553
16	124	8680
17	131	8642
18	139	8664
19	146	8646
20	153	8635
21	160	8605
22	168	8623
23	176	8626
24	183	8625
25	191	8632
26	198	8641
27	206	8634
28	213	8631
29	221	8632
30	229	8639
31	236	8640
32	244	8632
33	252	8666
34	260	8668
35	267	8659
36	275	8644
37	282	8638
38	289	8621
39	296	8605
40	303	8588
41	310	8562
42	317	8555
43	326	8582
44	335	8617
45	344	8645
46	353	8663
47	361	8681
48	370	8700
49	378	8700
50	386	8710
51	395	8724
52	402	8714
53	409	8696
54	417	8682
55	424	8669
56	432	8667
57	440	8667
58	447	8660
59	454	8644
60	462	8627
61	469	8612
62	475	8590
63	482	8569
64	489	8555
65	496	8533
66	503	8514
67	510	8490
68	517	8482
69	524	8461
70	531	8444
71	538	8437
72	545	8420
73	552	8406
74	560	8401
75	567	8389
76	575	8391
77	583	8392
78	591	8388
79	599	8393
80	607	8391
81	615	8387
82	623	8391
83	631	8391
84	639	8390
85	647	8393
86	656	8398
87	664	8396
88	673	8401
89	681	8400
90	689	8403
91	697	8405
92	707	8416
93	715	8423
94	724	8429
95	732	8427
96	740	8419
97	748	8421
98	757	8426
99	768	8452
100	780	8488
101	788	8493
102	796	8486
103	805	8485
104	813	8478
105	820	8469
106	828	8459
107	836	8457
108	845	8458
109	851	8439
110	858	8422
111	865	8405
112	872	8390
113	879	8375
114	885	8358
115	892	8340
116	899	8323
117	906	8308
118	913	8294
119	919	8279
120	926	8264
121	933	8251
122	941	8241
123	948	8234
124	955	8218
125	963	8209
126	971	8207
127	980	8209
128	989	8211
129	997	8208
130	1005	8207
131	1014	8209
132	1022	8204
133	1030	8201
134	1038	8194
135	1045	8182
136	1052	8168
137	1060	8161
138	1068	8159
139	1077	8156
140	1084	8143
141	1091	8131
142	1098	8120
143	1105	8109
144	1112	8095
145	1119	8081
146	1126	8069
147	1133	8056
148	1139	8039
149	1146	8027
150	1153	8013
151	1160	7999
152	1167	7986
153	1174	7975
154	1181	7966
155	1188	7952
156	1195	7940
157	1201	7926
158	1209	7916
159	1215	7903
160	1222	7890
161	1229	7878
162	1236	7867
163	1243	7855
164	1250	7842
165	1257	7832
166	1265	7824
167	1273	7821
168	1281	7820
169	1290	7817
170	1298	7813
171	1306	7807
172	1314	7801
173	1322	7796
174	1330	7795
175	1339	7792
176	1348	7791
177	1355	7780
178	1362	7770
179	1369	7759
180	1376	7749
181	1384	7743
182	1392	7736
183	1399	7728
184	1406	7717
185	1413	7707
186	1420	7697
187	1427	7684
188	1434	7671
189	1441	7661
190	1448	7651
191	1455	7639
192	1461	7628
193	1468	7616
194	1475	7606
195	1483	7597
196	1490	7587
197	1497	7577
198	1504	7566
199	1511	7556
200	1518	7545
201	1525	7534
202	1531	7523
203	1538	7511
204	1544	7498
205	1552	7488
206	1558	7476
207	1565	7465
208	1571	7453
209	1578	7442
210	1586	7433
211	1592	7421
212	1598	7409
213	1606	7400
214	1614	7396
215	1622	7391
216	1630	7388
217	1639	7386
218	1648	7385
219	1657	7384
220	1665	7380
221	1674	7378
222	1682	7373
223	1690	7366
224	1698	7360
225	1706	7352
226	1713	7343
227	1720	7336
228	1728	7327
229	1735	7320
230	1743	7314
231	1751	7306
232	1758	7296
233	1764	7286
234	1771	7276
235	1778	7266
236	1785	7256
237	1792	7244
238	1798	7231
239	1805	7221
240	1812	7210
241	1818	7200
242	1825	7188
243	1832	7180
244	1839	7171
245	1846	7161
246	1853	7151
247	1860	7141
248	1867	7132
249	1874	7122
250	1880	7111
251	1888	7105
252	1895	7096
253	1902	7086
254	1909	7076
255	1916	7066
256	1923	7056
257	1929	7045
258	1936	7035
259	1944	7030
260	1954	7030
261	1962	7026
262	1971	7023
263	1979	7018
264	1987	7013
265	1995	7007
266	2003	7002
267	2012	6998
268	2021	6994
269	2028	6988
270	2036	6979
271	2042	6970
272	2049	6960
273	2057	6952
274	2065	6946
275	2072	6939
276	2080	6931
277	2088	6927
278	2095	6917
279	2102	6907
280	2108	6896
281	2115	6886
282	2122	6877
283	2129	6867
284	2136	6859
285	2143	6848
286	2149	6838
287	2156	6829
288	2163	6818
289	2169	6808
290	2176	6799
291	2183	6790
292	2190	6780
293	2197	6772
294	2204	6763
295	2211	6753
296	2218	6744
297	2225	6735
298	2231	6725
299	2238	6715
300	2245	6705
301	2251	6695
302	2258	6685
303	2265	6676
304	2271	6666
305	2278	6657
306	2286	6652
307	2295	6647
308	2303	6642
